ano,local,autor,titulo,link
2017,London,Alvaro Videla,Metaphors We Compute By,https://devopsdays.org/events/2017-london/program/alvaro-videla
2017,London,Sasha Romijn,Healthy Minds in a Healthy Community,https://devopsdays.org/events/2017-london/program/sasha-romijn
2017,London,Louise Paling,The Oath of Non-Allegiance,https://devopsdays.org/events/2017-london/program/louise-paling
2017,London,Aubrey Stearn,What my dad taught me about ChatOps,https://devopsdays.org/events/2017-london/program/aubrey-stearn
2017,London,Jon Topper,Boring Is Powerful,https://devopsdays.org/events/2017-london/program/jon-topper
2017,Chicago,Jeff Smith,Hacking Human Systems,https://devopsdays.org/events/2017-chicago/program/jeff-smith
2017,Chicago,Bill Weiss,"Security, Don't Fear the DevOps",https://devopsdays.org/events/2017-chicago/program/bill-weiss
2017,Chicago,Rhea Ghosh,Diversity is Not Just a Checklist,https://devopsdays.org/events/2017-chicago/program/rhea-ghosh
2017,Chicago,Paul Hinze,Getting Good At System Failure Analysis,https://devopsdays.org/events/2017-chicago/program/paul-hinze
2017,Chicago,Katie Prizy,Devaluing Hard Work,https://devopsdays.org/events/2017-chicago/program/katie-prizy
2017,Chicago,Pramod Sadalage,DevOps Practices for the Database Team,https://devopsdays.org/events/2017-chicago/program/pramod-sadalage
2017,Chicago,Ashley Sun,Graphs: The Fabric of DevOps,https://devopsdays.org/events/2017-chicago/program/ashley-sun
2017,Chicago,Jason Yee,Burnout: Community Problem & Community Solution,https://devopsdays.org/events/2017-chicago/program/jason-yee
2017,Boston,Rob Cummings,KEYNOTE: Settlers of DevOps - Down with the Tyranny of Architecture Governance,https://devopsdays.org/events/2017-boston/program/rob-cummings
2017,Boston,Tobias Macey,Open Sourcing Your Infrastructure,https://devopsdays.org/events/2017-boston/program/tobias-macey
2017,Boston,Chloe Condon,Why You Need to Stop Using 'THE' Staging Server,https://devopsdays.org/events/2017-boston/program/chloe-condon
2017,Boston,Matthew Boeckman,There is No Root Cause: Emergent Behavior in Complex Systems,https://devopsdays.org/events/2017-boston/program/matthew-boeckman
2017,Boston,Corey Quinn,Terrible Ideas in Lambda,https://devopsdays.org/events/2017-boston/program/corey-quinn
2017,Boston,Franklin Mosley,How to make a Unicorn: Finding Cybersecurity Talent in the Real World,https://devopsdays.org/events/2017-boston/program/franklin-mosley
2017,Boston,Tom McLaughlin,Iterative Security: Security when you're not ready for the difficult stuff,https://devopsdays.org/events/2017-boston/program/tom-mclaughlin
2017,Boston,David N. Blank-Edelman,SRE: Lessons from a Parallel Universe,https://devopsdays.org/events/2017-boston/program/david-n-blankedelman
2017,Boston,"Ben Hagen, Amy Hailes, Michael Fisher, Will McCutcheon, timball, Dylan Ayrey","SRE, Security, and Presidential Campaigns",https://devopsdays.org/events/2017-boston/program/ben-hagen
2017,Boston,Yulan Lin,KEYNOTE: The curse of 'common knowledge': communicating for clarity and inclusivity,https://devopsdays.org/events/2017-boston/program/yulan-lin
2017,Boston,Leon Fayer,Lost Art of Troubleshooting,https://devopsdays.org/events/2017-boston/program/leon-fayer
2017,Boston,Adam Kaufman,"Crayons, Glue, and Stickers",https://devopsdays.org/events/2017-boston/program/adam-kaufman
2017,Boston,Rachael Byrne,"Don’t be a bystander, be an Incident Commander!",https://devopsdays.org/events/2017-boston/program/rachael-byrne
2017,Boston,Ed Rousseau,Why your next QA job might be in Ops,https://devopsdays.org/events/2017-boston/program/ed-rousseau
